"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Aruba","ABW","Exports of goods, services and primary income (BoP, current US$)","BX.GSR.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","253687150.837989","314134078.212291","424469273.743016","472234636.871508","581284916.201117","1369385474.86033","1654860335.19553","1771787709.4972","1930558659.21788","2008715083.79888","2524748603.35195","2565139664.80447","2097374301.67598","1288592178.77095","1868603351.9553","2067949720.67039","1480949720.67039","1798653631.28492","4723581005.58659","5766391335.85861","6088447715.12383","6768659217.8771","7131452513.96648","3549217877.09498","1870558659.21788","6901564245.81005","3187206703.91062","2199751840.22346","2344987256.42458","2486117679.88827","2398252407.26257","",
"Afghanistan","AFG","Exports of goods, services and primary income (BoP, current US$)","BX.GSR.TOTL.CD","","","","","","","","","","","","","","","","","","","","615500000","792700000","766300000","798000000","806200000","841500000","697400000","550100000","593500000","546700000","280600000","","","","","","","","","","","","","","","","","","","1489487650.08776","2217687127.98471","2736496049.63872","3183274935.36979","2467235992.67441","1590466384.27375","2184573855.77821","1703576212.08485","1300505935.98791","1367042350.44318",
"Angola","AGO","Exports of goods, services and primary income (BoP, current US$)","BX.GSR.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","2430000000","1462000000","2415000000","2620000000","3164000000","4003000000","3635600000","3991351000","3017600000","3179800000","3851690000","5405999000","5257430000","3699170000","5333650000","8222360000","6759790000","8552372416.6","9721520615.5","13830779466","24311987562.29","33491517668.21","45329462968.22","64665690436.56","41582480380.92","51585764935.92","68252355245.6919","72133100315.0915","70380501721.54","61496795044.6521","34603647352.9644","28640556800.6453","",
"Albania","ALB","Exports of goods, services and primary income (BoP, current US$)","BX.GSR.TOTL.CD","","","","","","","","","","","","","","","","","","","","","385500000","442000000","387800000","361700000","338800000","320800000","328100000","334600000","375100000","434300000","353600000","83000000","92900000","254100000","275500000","375700000","456600000","160780000","223200000","475000000","670400000","820700000","815450000","1041539222.0855","1453552162.90299","1687443389.37208","2201687890.04002","2846824201.34943","3754603608.73512","3436040342.80569","3703718215.91253","4075269330.80935","3798992365.43081","4071237649.32516","4176959142.97292","3518263850.61902","3891614272.16302","4599517063.11809",
"Andorra","AND","Exports of goods, services and primary income (BoP, current US$)","BX.GSR.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Exports of goods, services and primary income (BoP, current US$)","BX.GSR.TOTL.CD","","","","","","","","","","","","","","","","","","146682868590.142","146695497767.953","224645369955.063","338460895774.458","356964534816.831","277308783086.377","226294460219.195","208409214523.917","186143696897.593","147538038071.117","157310718523.194","162214389639.193","188612041537.317","239041584202.013","222793168699.934","238711603417.77","222420577361.422","226446667709.57","259612802724.872","290231671673.153","298014037185.268","236818433118.746","277778585362.804","365649531068.534","334283999118.033","338610692165.5","418106141254.181","541876534682.805","746619877663.355","909865465880.769","1064361176661.61","1380847649355.89","935086421096.693","1132527138372.88","1440211816518.97","1607617488631.91","1560330059403.67","1452666078149.67","974644438220.05","859401254100.645","",
"United Arab Emirates","ARE","Exports of goods, services and primary income (BoP, current US$)","BX.GSR.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Argentina","ARG","Exports of goods, services and primary income (BoP, current US$)","BX.GSR.TOTL.CD","","","","","","","","","","","","","","","","","4691000000","6738000000","7836000000","9916000000","11202000000","11805000000","9755000000","9764000000","9909000000","10329000000","8841000000","8406000000","11360000000","12042000000","16654000000","16132000000","17740679690.7487","18821539432.6","22835777307","29324812447.025","32868611331.0929","36490952850.2885","37389629537.7319","34072430573.5184","38657070742.8605","36474696527.7566","32093670000","37439900000","43478020000","51204020000","60213128417.1119","72746977098.8969","87208615201.963","69866766023.3485","83888208132.8251","100852552853.974","96586241540.6775","92034825145.1632","84398577454.3413","72381928419.3621","73663667559.8638","76559736666.7325",
"Armenia","ARM","Exports of goods, services and primary income (BoP, current US$)","BX.GSR.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","229020000","357751040","447789357.821878","474062773.808225","462193581.191088","479368786.632423","557854584.68917","665720600.884556","884142112.150196","1147694288.01234","1511732725.63406","1943703724.84209","2302670548.11901","2924909839.69892","3076880999.96319","2435101657.5018","3259762075.98752","3807748403.31919","4032591598.93567","4414406842.36423","4531263614.29491","4022253780.2782","4351375269.37861","5337098893.73203",
"American Samoa","ASM","Exports of goods, services and primary income (BoP, current US$)","BX.GSR.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
