"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Aruba","ABW","Imports of goods, services and primary income (BoP, current US$)","BM.GSR.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","274636871.50838","333798882.681564","467821229.05028","522290502.793296","738324022.346369","1576368715.0838","1628324022.34637","1740167597.76536","1858268156.42459","2042513966.48044","2590223463.68715","2749888268.15642","2111340782.12291","1671173184.35755","1582860335.19553","1694832402.23464","1754430167.59777","1876402234.63688","4344301675.97766","5528813425.82695","5647605675.95685","6386815642.4581","7000446927.3743","3293966480.44692","2259720670.39106","7046201117.31843","3020670391.06146","2471623248.04469","2409823859.77653","2306305827.93296","2195867958.10056","",
"Afghanistan","AFG","Imports of goods, services and primary income (BoP, current US$)","BM.GSR.TOTL.CD","","","","","","","","","","","","","","","","","","","","797400000","924500000","1080500000","989600000","1062900000","1419400000","1084300000","1354700000","1072100000","863300000","734800000","","","","","","","","","","","","","","","","","","","2365995177.56384","4288389694.5038","6062108518.57086","7542726229.16567","10072029729.8644","10370569213.0479","8592374423.90343","8731693031.76884","7546768512.39803","8243032590.53387",
"Angola","AGO","Imports of goods, services and primary income (BoP, current US$)","BM.GSR.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","2256000000","1906000000","2020000000","3121000000","3292000000","4161400000","4243400000","4828396000","3851900000","3764700000","4302257000","5980445000","6235550000","5717790000","7099810000","7454210000","8281270000","8734464801.86","10539996160","13156086146.21","19200860208.5178","22611733343.4","34526294540.22","57261377694.671","48783824988","43642118667.18","53805471322.3596","56529763171.9595","60111411120.5794","63033383446.1602","44042657939.7134","31257279088.0801","",
"Albania","ALB","Imports of goods, services and primary income (BoP, current US$)","BM.GSR.TOTL.CD","","","","","","","","","","","","","","","","","","","","","375300000","404100000","461100000","406000000","373400000","362900000","337000000","336300000","409200000","484200000","486900000","340300000","667300000","794400000","774800000","864600000","1123300000","697612500","792180000","956400000","1359600000","1608700000","1848090000","2290296334.14308","2921069546.113","3552961514.68275","4142215603.40901","5429247205.62995","7146432448.79718","6593101976.64851","6280395412.05476","7003210842.68381","6187628227.72863","6159697373.79225","6560911667.21725","5349666448.57525","5699671294.12207","6470583680.11532",
"Andorra","AND","Imports of goods, services and primary income (BoP, current US$)","BM.GSR.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Imports of goods, services and primary income (BoP, current US$)","BM.GSR.TOTL.CD","","","","","","","","","","","","","","","","","","132340799521.632","157710344234.182","198741973608.602","246802454843.302","297719417578.199","281845052964.63","269052458737.02","254995273780.533","216086389469.523","181101283107.683","181764983339.395","188006059934.318","203957275470.197","230582180191.917","273342438736.897","277587296181.751","256980289839.529","239603788487.422","258979213002.713","276526955743.107","286179314170.679","272924569428.096","270532070934.471","298330678056.155","291461945114.653","301454091412.572","339225395791.815","419391719310.228","515083016328.301","604197391546.982","745938195355.743","939606227840.161","842473842388.924","915568345399.534","1039087353825.95","1166384984806.57","1225274782190.37","1281310167202.68","1129993735718.37","1010492732878.69","",
"United Arab Emirates","ARE","Imports of goods, services and primary income (BoP, current US$)","BM.GSR.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Argentina","ARG","Imports of goods, services and primary income (BoP, current US$)","BM.GSR.TOTL.CD","","","","","","","","","","","","","","","","","4058000000","5643000000","6048000000","10486000000","15999000000","16495000000","12142000000","12216000000","12406000000","11281000000","11702000000","12633000000","12932000000","13355000000","13100000000","17572000000","24077634249.3714","27579629372.765","34312430277.0946","35039569701.3158","40120789491.5782","49143879017.4701","52335695781.9799","46468565966.3738","48036724583.4385","40679614586.4015","23867070000","29804090000","40827220000","46414160000","54669095826.854","67771052886.056","82901868928.7046","63532822514.5258","86092220688.1838","106727176904.111","99396394105.1624","105893333594.436","95112247276.0498","91086748083.8309","89532930038.2415","107801366412.153",
"Armenia","ARM","Imports of goods, services and primary income (BoP, current US$)","BM.GSR.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","304329250","447285682.638888","763860761.254785","939928047.930536","1018358284.77441","1044998074.18281","941973576.374357","1030659258.72791","1123379892.78885","1261235746.41002","1602744849.89084","2008567017.20226","2520290987.85081","3035898215.23701","4334334440.17214","5513086608.66829","4442602404.30701","5127970681.39017","5623304799.55248","5823562500.21111","6052998426.11958","6159031191.38037","4861207212.59734","5142921110.8041","6384106212.53617",
"American Samoa","ASM","Imports of goods, services and primary income (BoP, current US$)","BM.GSR.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
